Student_ID,skill,Test_ID,Type,Days_prepared,TimeTaken,score
1,m-measurement,64,other,11,82,49.0
1,m-measurement,30,popupmenuquestion,7,56,43.0
1,m-measurement,1,algebra,53,78,75.0
1,m-measurement,52,popupmenuquestion,63,30,52.0
1,m-measurement,11,textfieldquestion,73,98,85.0
1,m-measurement,75,textfieldquestion,67,66,59.0
1,m-measurement,68,checkboxquestion,49,49,37.0
1,m-measurement,67,textfieldquestion,41,62,66.0
2,symbolization-articulation,51,algebra,73,43,45.0
2,symbolization-articulation,61,interfacepopupmenuquestion1,59,75,84.0
2,symbolization-articulation,13,algebrafieldquestion1,27,71,57.0
2,symbolization-articulation,74,noprobtype,50,58,76.0
2,symbolization-articulation,46,algebra,50,56,46.0
2,symbolization-articulation,21,other,51,97,75.0
2,symbolization-articulation,6,interfacepopupmenuquestion1,40,102,80.0
2,symbolization-articulation,9,interfaceradioquestion1,47,57,61.0
2,symbolization-articulation,40,algebrafieldquestion1,61,39,53.0
2,symbolization-articulation,89,interfacepopupmenuquestion1,60,36,57.0
2,symbolization-articulation,82,textfieldquestion,76,51,58.0
2,symbolization-articulation,32,checkboxquestion,31,120,0.0
2,symbolization-articulation,70,textfieldquestion,67,49,62.0
2,symbolization-articulation,11,textfieldquestion,75,89,90.0
2,symbolization-articulation,26,interfaceradioquestion,62,30,43.0
2,symbolization-articulation,100,popupmenuquestion,74,74,76.0
2,symbolization-articulation,92,interfacepopupmenuquestion1,64,42,30.0
2,symbolization-articulation,24,popupmenuquestion,35,109,82.0
2,symbolization-articulation,88,interfacepopupmenuquestion1,31,65,57.0
2,symbolization-articulation,29,algebra,69,60,48.0
2,symbolization-articulation,90,radioquestion,50,89,71.0
2,symbolization-articulation,83,interfaceradioquestion,65,81,68.0
2,symbolization-articulation,25,algebrafieldquestion,41,52,51.0
2,symbolization-articulation,65,popupmenuquestion,26,110,72.0
2,symbolization-articulation,33,algebrafieldquestion1,9,52,29.0
2,symbolization-articulation,84,radioquestion,41,51,29.0
2,symbolization-articulation,16,interfacepopupmenuquestion1,80,102,84.0
2,symbolization-articulation,35,checkboxquestion,70,36,49.0
2,symbolization-articulation,98,interfacetextfieldquestion1,62,72,60.0
2,symbolization-articulation,67,textfieldquestion,40,52,63.0
2,symbolization-articulation,20,other,27,72,47.0
2,symbolization-articulation,94,popupmenuquestion,52,30,33.0
2,symbolization-articulation,76,interfacepopupmenuquestion1,77,34,49.0
2,symbolization-articulation,52,popupmenuquestion,80,65,68.0
2,symbolization-articulation,45,other,31,85,64.0
2,symbolization-articulation,30,popupmenuquestion,63,63,63.0
2,symbolization-articulation,64,other,56,85,100.0
2,symbolization-articulation,55,checkboxquestion,8,32,25.0
2,symbolization-articulation,87,interfacepopupmenuquestion1,60,107,86.0
2,symbolization-articulation,81,checkboxquestion,47,107,69.0
2,symbolization-articulation,80,algebra,45,101,78.0
2,symbolization-articulation,69,other,64,105,91.0
2,symbolization-articulation,39,checkboxquestion,19,87,77.0
2,symbolization-articulation,72,algebrafieldquestion,47,108,81.0
2,symbolization-articulation,41,radioquestion,7,89,88.0
2,symbolization-articulation,3,popupmenuquestion,70,72,81.0
2,symbolization-articulation,86,algebrafieldquestion,80,108,96.0
2,symbolization-articulation,85,interfaceradioquestion1,57,71,54.0
2,symbolization-articulation,14,other,5,95,80.0
2,symbolization-articulation,38,radioquestion,40,66,80.0
2,symbolization-articulation,2,algebra,46,48,49.0
2,symbolization-articulation,44,algebrafieldquestion1,57,110,1.0
2,symbolization-articulation,5,algebrafieldquestion,77,120,8.0
2,symbolization-articulation,27,other,14,86,67.0
2,symbolization-articulation,53,other,24,44,51.0
2,symbolization-articulation,49,textfieldquestion,60,95,83.0
2,symbolization-articulation,50,textfieldquestion,27,67,53.0
2,symbolization-articulation,56,radioquestion,33,52,52.0
2,symbolization-articulation,62,interfacepopupmenuquestion1,76,98,86.0
2,symbolization-articulation,17,checkboxquestion,35,65,71.0
2,symbolization-articulation,48,algebra,66,73,71.0
2,symbolization-articulation,59,textfieldquestion,46,82,72.0
2,symbolization-articulation,77,popupmenuquestion,47,71,62.0
2,symbolization-articulation,97,interfaceradioquestion,72,102,88.0
2,symbolization-articulation,10,interfaceradioquestion1,72,57,74.0
2,symbolization-articulation,58,popupmenuquestion,9,108,85.0
2,symbolization-articulation,37,other,18,60,48.0
2,symbolization-articulation,75,textfieldquestion,69,89,75.0
2,symbolization-articulation,63,algebra,26,91,78.0
2,symbolization-articulation,7,interfaceradioquestion1,8,76,45.0
3,application: order of operations,74,noprobtype,50,113,81.0
3,application: order of operations,79,interfacetextfieldquestion,38,69,50.0
3,application: order of operations,78,interfaceradioquestion,41,69,68.0
3,application: order of operations,14,other,59,70,76.0
3,application: order of operations,25,algebrafieldquestion,71,31,48.0
3,application: order of operations,81,checkboxquestion,31,57,45.0
3,application: order of operations,87,interfacepopupmenuquestion1,29,36,31.0
3,application: order of operations,12,interfaceradioquestion,50,85,83.0
3,application: order of operations,38,radioquestion,41,110,93.0
3,application: order of operations,28,noprobtype,38,33,32.0
3,application: order of operations,73,textfieldquestion,5,49,47.0
3,application: order of operations,30,popupmenuquestion,59,76,78.0
3,application: order of operations,93,interfaceradioquestion1,78,40,44.0
3,application: order of operations,69,other,79,71,81.0
3,application: order of operations,59,textfieldquestion,18,40,38.0
3,application: order of operations,86,algebrafieldquestion,18,39,40.0
3,application: order of operations,7,interfaceradioquestion1,51,82,66.0
3,application: order of operations,10,interfaceradioquestion1,26,85,76.0
3,application: order of operations,99,radioquestion,49,94,75.0
3,application: order of operations,62,interfacepopupmenuquestion1,48,102,93.0
3,application: order of operations,83,interfaceradioquestion,9,54,67.0
3,application: order of operations,17,checkboxquestion,37,77,57.0
3,application: order of operations,52,popupmenuquestion,57,61,52.0
3,application: order of operations,8,interfaceradioquestion,17,119,76.0
3,application: order of operations,1,algebra,55,34,49.0
3,application: order of operations,71,checkboxquestion,50,86,78.0
3,application: order of operations,57,interfacetextfieldquestion1,42,63,80.0
3,application: order of operations,40,algebrafieldquestion1,5,113,68.0
3,application: order of operations,35,checkboxquestion,46,108,3.0
3,application: order of operations,31,interfaceradioquestion1,77,42,57.0
3,application: order of operations,64,other,15,111,89.0
3,application: order of operations,95,checkboxquestion,66,45,44.0
3,application: order of operations,21,other,46,87,71.0
3,application: order of operations,49,textfieldquestion,14,93,74.0
3,application: order of operations,85,interfaceradioquestion1,58,40,28.0
3,application: order of operations,45,other,54,98,68.0
3,application: order of operations,29,algebra,15,94,78.0
3,application: order of operations,94,popupmenuquestion,76,67,90.0
3,application: order of operations,18,radioquestion,73,68,70.0
3,application: order of operations,15,interfacetextfieldquestion,55,89,5.0
3,application: order of operations,9,interfaceradioquestion1,58,105,88.0
3,application: order of operations,82,textfieldquestion,19,79,46.0
3,application: order of operations,11,textfieldquestion,24,56,52.0
3,application: order of operations,26,interfaceradioquestion,10,77,53.0
3,application: order of operations,98,interfacetextfieldquestion1,9,37,24.0
3,application: order of operations,92,interfacepopupmenuquestion1,64,67,81.0
3,application: order of operations,6,interfacepopupmenuquestion1,69,66,74.0
3,application: order of operations,3,popupmenuquestion,52,72,82.0
3,application: order of operations,23,interfacepopupmenuquestion1,36,99,54.0
3,application: order of operations,32,checkboxquestion,19,106,85.0
3,application: order of operations,19,popupmenuquestion,55,85,77.0
3,application: order of operations,50,textfieldquestion,11,109,77.0
3,application: order of operations,16,interfacepopupmenuquestion1,48,53,52.0
3,application: order of operations,42,algebra,44,80,61.0
3,application: order of operations,66,algebra,76,109,87.0
3,application: order of operations,96,algebra,13,43,21.0
3,application: order of operations,5,algebrafieldquestion,8,90,63.0
3,application: order of operations,33,algebrafieldquestion1,62,83,77.0
3,application: order of operations,44,algebrafieldquestion1,32,62,48.0
3,application: order of operations,80,algebra,9,86,59.0
3,application: order of operations,77,popupmenuquestion,37,30,25.0
3,application: order of operations,75,textfieldquestion,5,66,39.0
3,application: order of operations,55,checkboxquestion,42,35,34.0
3,application: order of operations,67,textfieldquestion,56,63,46.0
3,application: order of operations,34,noprobtype,38,51,60.0
3,application: order of operations,88,interfacepopupmenuquestion1,55,88,81.0
3,application: order of operations,20,other,64,97,88.0
3,application: order of operations,22,interfaceradioquestion1,68,92,89.0
3,application: order of operations,54,interfacetextfieldquestion,56,96,74.0
3,application: order of operations,13,algebrafieldquestion1,38,75,50.0
4,fraction-division,43,checkboxquestion,71,74,91.0
4,fraction-division,92,interfacepopupmenuquestion1,51,102,81.0
4,fraction-division,66,algebra,67,76,75.0
4,fraction-division,74,noprobtype,50,77,45.0
4,fraction-division,35,checkboxquestion,32,114,81.0
4,fraction-division,86,algebrafieldquestion,34,77,71.0
4,fraction-division,13,algebrafieldquestion1,14,30,39.0
4,fraction-division,99,radioquestion,67,61,58.0
4,fraction-division,93,interfaceradioquestion1,54,87,77.0
4,fraction-division,21,other,70,34,35.0
4,fraction-division,49,textfieldquestion,61,119,9.0
4,fraction-division,96,algebra,17,37,15.0
4,fraction-division,53,other,48,46,41.0
4,fraction-division,39,checkboxquestion,40,111,97.0
4,fraction-division,64,other,33,71,36.0
4,fraction-division,8,interfaceradioquestion,56,55,56.0
4,fraction-division,80,algebra,9,30,0.0
4,fraction-division,23,interfacepopupmenuquestion1,11,44,40.0
4,fraction-division,65,popupmenuquestion,58,100,93.0
4,fraction-division,67,textfieldquestion,69,83,69.0
4,fraction-division,69,other,70,51,59.0
4,fraction-division,30,popupmenuquestion,30,80,60.0
4,fraction-division,3,popupmenuquestion,58,108,87.0
4,fraction-division,12,interfaceradioquestion,23,45,30.0
4,fraction-division,90,radioquestion,44,117,87.0
4,fraction-division,18,radioquestion,58,62,63.0
4,fraction-division,38,radioquestion,7,38,41.0
4,fraction-division,48,algebra,36,117,2.0
4,fraction-division,32,checkboxquestion,32,99,77.0
4,fraction-division,71,checkboxquestion,25,58,48.0
4,fraction-division,82,textfieldquestion,80,57,77.0
4,fraction-division,87,interfacepopupmenuquestion1,61,73,62.0
4,fraction-division,83,interfaceradioquestion,43,65,51.0
4,fraction-division,56,radioquestion,58,65,56.0
4,fraction-division,31,interfaceradioquestion1,5,57,33.0
4,fraction-division,50,textfieldquestion,59,83,41.0
4,fraction-division,29,algebra,63,80,57.0
4,fraction-division,63,algebra,17,104,70.0
4,fraction-division,40,algebrafieldquestion1,74,109,91.0
4,fraction-division,22,interfaceradioquestion1,33,56,44.0
4,fraction-division,7,interfaceradioquestion1,40,120,87.0
4,fraction-division,77,popupmenuquestion,30,93,86.0
4,fraction-division,47,checkboxquestion,40,99,91.0
4,fraction-division,10,interfaceradioquestion1,15,84,56.0
4,fraction-division,68,checkboxquestion,75,51,65.0
4,fraction-division,59,textfieldquestion,5,40,33.0
4,fraction-division,61,interfacepopupmenuquestion1,80,48,74.0
4,fraction-division,4,textfieldquestion,21,86,78.0
4,fraction-division,36,checkboxquestion,52,101,81.0
4,fraction-division,41,radioquestion,77,73,72.0
4,fraction-division,2,algebra,74,40,50.0
4,fraction-division,17,checkboxquestion,51,113,92.0
4,fraction-division,20,other,26,63,63.0
4,fraction-division,98,interfacetextfieldquestion1,27,65,41.0
4,fraction-division,88,interfacepopupmenuquestion1,18,32,23.0
4,fraction-division,76,interfacepopupmenuquestion1,50,60,51.0
4,fraction-division,94,popupmenuquestion,55,96,78.0
4,fraction-division,24,popupmenuquestion,60,34,43.0
4,fraction-division,85,interfaceradioquestion1,40,57,40.0
4,fraction-division,6,interfacepopupmenuquestion1,60,81,83.0
4,fraction-division,100,popupmenuquestion,29,86,68.0
4,fraction-division,19,popupmenuquestion,26,66,56.0
4,fraction-division,97,interfaceradioquestion,21,66,50.0
4,fraction-division,45,other,12,112,83.0
4,fraction-division,78,interfaceradioquestion,57,88,84.0
4,fraction-division,44,algebrafieldquestion1,6,80,50.0
4,fraction-division,9,interfaceradioquestion1,8,104,85.0
4,fraction-division,62,interfacepopupmenuquestion1,62,39,39.0
4,fraction-division,60,interfacetextfieldquestion,62,62,69.0
4,fraction-division,70,textfieldquestion,67,95,86.0
5,supplementary-angles,81,checkboxquestion,60,94,95.0
5,supplementary-angles,22,interfaceradioquestion1,33,94,80.0
5,supplementary-angles,10,interfaceradioquestion1,6,83,58.0
5,supplementary-angles,19,popupmenuquestion,13,58,33.0
5,supplementary-angles,70,textfieldquestion,14,36,18.0
5,supplementary-angles,6,interfacepopupmenuquestion1,8,103,66.0
5,supplementary-angles,31,interfaceradioquestion1,18,75,54.0
5,supplementary-angles,67,textfieldquestion,10,36,15.0
5,supplementary-angles,89,interfacepopupmenuquestion1,78,80,82.0
5,supplementary-angles,96,algebra,73,100,94.0
5,supplementary-angles,74,noprobtype,49,31,43.0
5,supplementary-angles,79,interfacetextfieldquestion,45,45,33.0
5,supplementary-angles,84,radioquestion,11,38,22.0
5,supplementary-angles,24,popupmenuquestion,53,117,5.0
5,supplementary-angles,11,textfieldquestion,75,111,9.0
5,supplementary-angles,92,interfacepopupmenuquestion1,46,40,43.0
5,supplementary-angles,18,radioquestion,49,42,28.0
5,supplementary-angles,42,algebra,47,68,75.0
5,supplementary-angles,45,other,70,59,52.0
5,supplementary-angles,80,algebra,6,76,50.0
5,supplementary-angles,34,noprobtype,17,55,46.0
5,supplementary-angles,56,radioquestion,30,42,45.0
5,supplementary-angles,27,other,38,106,92.0
5,supplementary-angles,55,checkboxquestion,56,102,75.0
5,supplementary-angles,75,textfieldquestion,44,118,94.0
5,supplementary-angles,43,checkboxquestion,41,92,79.0
5,supplementary-angles,15,interfacetextfieldquestion,51,87,72.0
5,supplementary-angles,59,textfieldquestion,12,92,80.0
5,supplementary-angles,3,popupmenuquestion,5,67,46.0
5,supplementary-angles,72,algebrafieldquestion,59,81,86.0
5,supplementary-angles,8,interfaceradioquestion,16,43,25.0
5,supplementary-angles,35,checkboxquestion,10,82,63.0
5,supplementary-angles,38,radioquestion,38,34,48.0
5,supplementary-angles,48,algebra,65,43,47.0
5,supplementary-angles,2,algebra,24,84,58.0
5,supplementary-angles,91,interfaceradioquestion,53,84,80.0
5,supplementary-angles,12,interfaceradioquestion,73,81,72.0
5,supplementary-angles,85,interfaceradioquestion1,31,68,41.0
5,supplementary-angles,49,textfieldquestion,71,102,67.0
5,supplementary-angles,41,radioquestion,47,105,0.0
5,supplementary-angles,7,interfaceradioquestion1,11,111,77.0
5,supplementary-angles,88,interfacepopupmenuquestion1,33,58,50.0
5,supplementary-angles,94,popupmenuquestion,25,63,37.0
5,supplementary-angles,95,checkboxquestion,22,89,68.0
5,supplementary-angles,86,algebrafieldquestion,70,107,2.0
5,supplementary-angles,20,other,43,83,66.0
5,supplementary-angles,16,interfacepopupmenuquestion1,69,105,7.0
5,supplementary-angles,68,checkboxquestion,75,100,98.0
5,supplementary-angles,97,interfaceradioquestion,43,87,70.0
5,supplementary-angles,25,algebrafieldquestion,59,95,95.0
5,supplementary-angles,61,interfacepopupmenuquestion1,52,33,58.0
5,supplementary-angles,23,interfacepopupmenuquestion1,55,100,90.0
5,supplementary-angles,44,algebrafieldquestion1,61,65,65.0
5,supplementary-angles,17,checkboxquestion,69,87,8.0
5,supplementary-angles,90,radioquestion,63,78,76.0
5,supplementary-angles,69,other,25,33,28.0
5,supplementary-angles,51,algebra,51,89,84.0
5,supplementary-angles,73,textfieldquestion,19,118,93.0
5,supplementary-angles,47,checkboxquestion,24,108,94.0
5,supplementary-angles,60,interfacetextfieldquestion,51,54,70.0
5,supplementary-angles,32,checkboxquestion,62,33,52.0
5,supplementary-angles,40,algebrafieldquestion1,53,111,85.0
5,supplementary-angles,9,interfaceradioquestion1,56,106,100.0
5,supplementary-angles,28,noprobtype,64,50,46.0
5,supplementary-angles,100,popupmenuquestion,66,48,53.0
5,supplementary-angles,57,interfacetextfieldquestion1,72,46,40.0
5,supplementary-angles,30,popupmenuquestion,62,66,53.0
5,supplementary-angles,36,checkboxquestion,56,109,12.0
5,supplementary-angles,83,interfaceradioquestion,27,74,62.0
5,supplementary-angles,39,checkboxquestion,71,91,84.0
6,application: compare expressions,30,popupmenuquestion,36,60,57.0
6,application: compare expressions,28,noprobtype,28,113,89.0
6,application: compare expressions,59,textfieldquestion,28,46,40.0
6,application: compare expressions,11,textfieldquestion,36,66,51.0
6,application: compare expressions,97,interfaceradioquestion,40,68,58.0
6,application: compare expressions,75,textfieldquestion,8,118,88.0
6,application: compare expressions,64,other,70,114,12.0
6,application: compare expressions,63,algebra,22,56,39.0
6,application: compare expressions,80,algebra,77,110,94.0
6,application: compare expressions,38,radioquestion,44,43,24.0
6,application: compare expressions,62,interfacepopupmenuquestion1,63,36,39.0
6,application: compare expressions,19,popupmenuquestion,59,96,84.0
6,application: compare expressions,39,checkboxquestion,60,35,26.0
6,application: compare expressions,12,interfaceradioquestion,56,115,97.0
6,application: compare expressions,46,algebra,18,119,89.0
6,application: compare expressions,87,interfacepopupmenuquestion1,11,77,54.0
6,application: compare expressions,9,interfaceradioquestion1,22,72,37.0
6,application: compare expressions,42,algebra,45,100,85.0
6,application: compare expressions,73,textfieldquestion,69,71,69.0
6,application: compare expressions,51,algebra,44,74,59.0
6,application: compare expressions,35,checkboxquestion,74,103,0.0
6,application: compare expressions,69,other,20,88,74.0
6,application: compare expressions,78,interfaceradioquestion,48,107,75.0
6,application: compare expressions,24,popupmenuquestion,57,56,47.0
6,application: compare expressions,3,popupmenuquestion,11,81,43.0
6,application: compare expressions,16,interfacepopupmenuquestion1,38,108,89.0
6,application: compare expressions,50,textfieldquestion,34,44,49.0
6,application: compare expressions,85,interfaceradioquestion1,12,65,39.0
6,application: compare expressions,99,radioquestion,66,102,91.0
6,application: compare expressions,90,radioquestion,13,53,36.0
6,application: compare expressions,95,checkboxquestion,34,61,38.0
6,application: compare expressions,32,checkboxquestion,45,76,59.0
6,application: compare expressions,53,other,79,73,71.0
6,application: compare expressions,71,checkboxquestion,78,71,80.0
6,application: compare expressions,5,algebrafieldquestion,29,63,46.0
6,application: compare expressions,18,radioquestion,45,90,63.0
6,application: compare expressions,25,algebrafieldquestion,31,63,57.0
6,application: compare expressions,74,noprobtype,66,50,43.0
6,application: compare expressions,92,interfacepopupmenuquestion1,22,47,29.0
6,application: compare expressions,88,interfacepopupmenuquestion1,29,54,66.0
6,application: compare expressions,60,interfacetextfieldquestion,8,116,90.0
6,application: compare expressions,91,interfaceradioquestion,49,45,44.0
6,application: compare expressions,94,popupmenuquestion,79,109,94.0
6,application: compare expressions,29,algebra,46,97,72.0
6,application: compare expressions,22,interfaceradioquestion1,59,31,42.0
6,application: compare expressions,65,popupmenuquestion,49,95,76.0
6,application: compare expressions,56,radioquestion,8,70,51.0
6,application: compare expressions,82,textfieldquestion,75,54,52.0
6,application: compare expressions,76,interfacepopupmenuquestion1,25,47,34.0
6,application: compare expressions,58,popupmenuquestion,11,85,64.0
6,application: compare expressions,89,interfacepopupmenuquestion1,42,91,83.0
6,application: compare expressions,72,algebrafieldquestion,22,113,72.0
6,application: compare expressions,17,checkboxquestion,16,49,34.0
6,application: compare expressions,83,interfaceradioquestion,44,91,69.0
6,application: compare expressions,41,radioquestion,49,35,35.0
6,application: compare expressions,93,interfaceradioquestion1,48,34,33.0
6,application: compare expressions,33,algebrafieldquestion1,78,77,83.0
6,application: compare expressions,7,interfaceradioquestion1,28,96,72.0
6,application: compare expressions,44,algebrafieldquestion1,24,114,82.0
6,application: compare expressions,40,algebrafieldquestion1,44,65,49.0
6,application: compare expressions,45,other,30,39,37.0
6,application: compare expressions,15,interfacetextfieldquestion,77,30,45.0
6,application: compare expressions,13,algebrafieldquestion1,43,86,77.0
6,application: compare expressions,55,checkboxquestion,66,50,55.0
6,application: compare expressions,54,interfacetextfieldquestion,71,100,99.0
6,application: compare expressions,10,interfaceradioquestion1,9,72,40.0
6,application: compare expressions,21,other,17,76,47.0
6,application: compare expressions,70,textfieldquestion,42,78,61.0
6,application: compare expressions,36,checkboxquestion,72,120,1.0
6,application: compare expressions,6,interfacepopupmenuquestion1,66,106,100.0
7,prime-number,48,algebra,13,115,80.0
7,prime-number,79,interfacetextfieldquestion,44,87,83.0
7,prime-number,34,noprobtype,38,49,50.0
7,prime-number,88,interfacepopupmenuquestion1,28,67,51.0
7,prime-number,98,interfacetextfieldquestion1,35,91,86.0
7,prime-number,3,popupmenuquestion,44,84,76.0
7,prime-number,81,checkboxquestion,28,100,76.0
7,prime-number,23,interfacepopupmenuquestion1,20,99,78.0
7,prime-number,36,checkboxquestion,59,43,41.0
7,prime-number,19,popupmenuquestion,6,97,71.0
7,prime-number,15,interfacetextfieldquestion,46,53,40.0
7,prime-number,60,interfacetextfieldquestion,61,97,76.0
7,prime-number,29,algebra,36,111,92.0
7,prime-number,63,algebra,61,117,81.0
7,prime-number,49,textfieldquestion,26,80,61.0
7,prime-number,54,interfacetextfieldquestion,67,66,53.0
7,prime-number,80,algebra,48,118,8.0
7,prime-number,75,textfieldquestion,69,73,78.0
7,prime-number,11,textfieldquestion,16,82,72.0
7,prime-number,12,interfaceradioquestion,19,56,33.0
7,prime-number,94,popupmenuquestion,35,59,53.0
7,prime-number,13,algebrafieldquestion1,28,55,62.0
7,prime-number,58,popupmenuquestion,41,74,77.0
7,prime-number,27,other,16,69,43.0
7,prime-number,33,algebrafieldquestion1,42,75,74.0
7,prime-number,5,algebrafieldquestion,57,42,38.0
7,prime-number,6,interfacepopupmenuquestion1,47,111,90.0
7,prime-number,65,popupmenuquestion,62,45,48.0
7,prime-number,83,interfaceradioquestion,70,61,50.0
7,prime-number,17,checkboxquestion,49,115,97.0
7,prime-number,8,interfaceradioquestion,8,84,73.0
7,prime-number,91,interfaceradioquestion,20,47,44.0
7,prime-number,69,other,41,94,74.0
7,prime-number,66,algebra,19,67,72.0
7,prime-number,9,interfaceradioquestion1,64,76,84.0
7,prime-number,28,noprobtype,32,85,69.0
7,prime-number,44,algebrafieldquestion1,40,104,76.0
7,prime-number,25,algebrafieldquestion,23,72,47.0
7,prime-number,21,other,20,103,84.0
7,prime-number,53,other,31,106,88.0
7,prime-number,1,algebra,6,41,24.0
7,prime-number,95,checkboxquestion,76,86,93.0
7,prime-number,10,interfaceradioquestion1,37,106,98.0
7,prime-number,38,radioquestion,68,117,99.0
7,prime-number,16,interfacepopupmenuquestion1,44,71,63.0
7,prime-number,55,checkboxquestion,69,88,82.0
7,prime-number,39,checkboxquestion,6,76,49.0
7,prime-number,52,popupmenuquestion,31,33,34.0
7,prime-number,92,interfacepopupmenuquestion1,76,73,82.0
7,prime-number,93,interfaceradioquestion1,48,104,85.0
7,prime-number,22,interfaceradioquestion1,74,71,75.0
7,prime-number,50,textfieldquestion,44,36,29.0
7,prime-number,73,textfieldquestion,62,82,77.0
7,prime-number,72,algebrafieldquestion,23,50,52.0
7,prime-number,90,radioquestion,10,74,67.0
7,prime-number,78,interfaceradioquestion,10,102,78.0
7,prime-number,57,interfacetextfieldquestion1,56,95,83.0
7,prime-number,77,popupmenuquestion,52,57,54.0
7,prime-number,61,interfacepopupmenuquestion1,30,115,94.0
7,prime-number,2,algebra,42,70,63.0
7,prime-number,31,interfaceradioquestion1,5,74,43.0
7,prime-number,84,radioquestion,12,37,34.0
7,prime-number,76,interfacepopupmenuquestion1,74,118,13.0
7,prime-number,18,radioquestion,57,61,73.0
7,prime-number,59,textfieldquestion,63,70,75.0
7,prime-number,37,other,70,49,54.0
7,prime-number,71,checkboxquestion,62,33,47.0
7,prime-number,24,popupmenuquestion,41,97,88.0
7,prime-number,7,interfaceradioquestion1,24,114,75.0
7,prime-number,51,algebra,47,53,49.0
8,venn-diagram,18,radioquestion,56,53,56.0
8,venn-diagram,46,algebra,69,105,84.0
8,venn-diagram,44,algebrafieldquestion1,69,63,73.0
8,venn-diagram,51,algebra,16,31,35.0
8,venn-diagram,11,textfieldquestion,58,33,53.0
8,venn-diagram,86,algebrafieldquestion,71,56,57.0
8,venn-diagram,97,interfaceradioquestion,29,69,63.0
8,venn-diagram,31,interfaceradioquestion1,64,48,63.0
8,venn-diagram,7,interfaceradioquestion1,31,72,47.0
8,venn-diagram,13,algebrafieldquestion1,37,114,89.0
8,venn-diagram,92,interfacepopupmenuquestion1,55,98,80.0
8,venn-diagram,20,other,6,88,77.0
8,venn-diagram,21,other,77,71,74.0
8,venn-diagram,62,interfacepopupmenuquestion1,66,51,61.0
8,venn-diagram,80,algebra,53,87,80.0
8,venn-diagram,48,algebra,21,95,76.0
8,venn-diagram,56,radioquestion,71,71,77.0
